8a2e44f1-b4eb-4a4f-9cd1-7b5f525fa411, /lab/mapl$wildcard
Anthropology, /anthropology$wildcard
ArtsSciences/CCRH, /faculty/preston
ArtsSciences/british, /center/british-irish-studies$wildcard
ContEd, https://ce.colorado.edu$wildcard
ContinuingEducation, https://ce.colorado.edu$wildcard
ECE/biothemonitors, /lab/biomonitors$wildcard
EngMgmtProg, /emp
Networking, https://oit.colorado.edu/services/networking-internet-services$wildcard
OIE, /oie$wildcard
RetiredFaculty, /retiredfaculty$wildcard
SASC, /sasc$wildcard
StudentAffairs/OIE, /oie$wildcard
Telecom, https://oit.colorado.edu/voiceservices$wildcard
UCB, $wildcard
VCResearch/integrity/animalcare, /vcr/iacuc$wildcard
VCResearch/integrity/coic, /vcr/coi$wildcard
VCResearch/integrity/exportcontrols, /vcr/export-controls$wildcard
aac, /artssciences-advising$wildcard
abs, /controller$wildcard
academics/advising, /advising
accessible-technology, /digital-accessibility$wildcard
administration, /chancellor/chancellors-administrative-organization$wildcard
admissions/graduate, /graduateschool$wildcard
aerospacestructures, /center/aerospacemechanics$wildcard
alerts, https://alerts.colorado.edu$wildcard
altec, http://altec.colorado.edu
asqf, /program/asqf$wildcard
avcit, /information-technology$wildcard
biotech, https://bayes.colorado.edu/biotech$wildcard
boettcher-norlin-scholars, /boettcher-daniels-norlin-scholars$wildcard
bold, /engineering/bold$wildcard
bouldertalks, /event/tedxcu
bowmangroup, /lab/bowmangroup$wildcard
bulletin, http://bulletin.colorado.edu/
campusmap, /map$wildcard
cas/tea, /ptea$wildcard
ccis, http://www.coloradoindependentstudy.org
cdss, /slhs$wildcard
ce-career-advising, https://ce.colorado.edu/advising/general-information-career-advising$wildcard
ceae/cem, /cem$wildcard
cecolorado-edu-allenvs*, https://ce.colorado.edu$wildcard
certificate/publichealth, /program/publichealth$wildcard
cewww, https://ce.colorado.edu
changelab, /center/cuchange$wildcard
chem, /chemistry$wildcard
clasp, /program/clasp$wildcard
cliftonstrengths, /career/students/discover-your-strengths
cmciinternships, /cmcicareers
cns, https://oit.colorado.edu$wildcard
communication, /cmci/academics/communication
conference/rmc2020, /conference/rmc2022$wildcard
connect, /academics
controller-training, /controller$wildcard
creed, /studentaffairs/creed
csl/WHCSL2014, /csl/white-house-college-opportunity-initiative$wildcard
cspv, https://cspv.colorado.edu$wildcard
cu-crm, /mycuhub$wildcard
cu-diversity, /odece$wildcard
cuartgalleries, /cuartmuseum$wildcard
cubac, /business/business-research-division$wildcard
cuconnect, http://cuconnect.colorado.edu$wildcard
cucrm, /mycuhub$wildcard
cue, /cisc$wildcard
cuenvironmentalcenter, /ecenter$wildcard
cwc, /cwctp$wildcard
cwctp, /center/benson$wildcard
cwest, https://wayback.archive-it.org/12313/20210527125749/https://www.colorado.edu/cwest$wildcard
cye, /cedar$wildcard
designcenter, /mechanical/dcc
directories, /atoz/letter/a$wildcard
discover/arts-sciences, /academics/colleges-schools
discover/be-social, /admissions/connect/social
discover/boulder-campus, /admissions/plan-your-visit
discover/business, /academics/colleges-schools
discover/cmci, /academics/colleges-schools
discover/college-schools, /academics/colleges-schools
discover/engineering, /academics/colleges-schools
discover/environmental-design, /academics/colleges-schools
discover/exploratory-studies, /academics/colleges-schools
discover/first-year-students, /admissions/visit/first-year
discover/first-year-students/admitted-confirmed-first-year-student-events, /admissions/visit/first-year/boulder-bound-events
discover/graduate-students, /admissions/visit/graduate
discover/music, /academics/colleges-schools
discover/transfer-students, /admissions/visit/transfer
discover/video-tours, /admissions/visit/first-year/virtual-visit-on-demand
discover/video-tours/admissions-virtual-visit-demand-content, /admissions/visit/first-year/virtual-visit-on-demand
e-rap, /bakerrap$wildcard
earthlab, https://earthlab.colorado.edu/
econ, /economics$wildcard
economics/zax, /faculty/zax$wildcard
eeb, /ebio$wildcard
eeb/eebprojects/davieslab, /lab/davies$wildcard
eeb/facultysites/melbourne, /lab/melbourne$wildcard
eeb/greenhouse, /lab/greenhouse$wildcard
emycuboulder, http://mycuboulder.colorado.edu$wildcard
engineering/CAS, /aerospacestructures$wildcard
engineering/CenterAerospaceStructures, /aerospacestructures$wildcard
engineering/ColoradoEngineer, http://cem.colorado.edu$wildcard
engineering/EEF, http://eef.colorado.edu$wildcard
engineering/EngMgmtProg, /emp$wildcard
engineering/MCEN, /mechanical$wildcard
eplus, /program/ide$wildcard
eventscalendar, /events$wildcard
executivemba, http://emba.colorado.edu$wildcard
facilitiesmanagement, /fm$wildcard
facman, /fm$wildcard
faculty/potter, /philosophy/people/faculty/jason-potter
faculty/regueiro, https://ceae.colorado.edu/~regueiro/
facultyassembly, /bfa$wildcard
facultydevelopmentandsupport, /fds$wildcard
facultygovernance, /bfa$wildcard
facultymentorprogram, /artssciences-advising$wildcard
facultyrelations, /facultydevelopmentandsupport$wildcard
farrand, /farrandrap$wildcard
