ucb-aais,colorado.edu/aais,ucbprod-aais,ucbtraining-aais,https://live-ucbprod-aais.pantheonsite.io,https://live-ucbtraining-aais.pantheonsite.io
ucb-academicfutures,colorado.edu/academicfutures,ucbprod-academicfutures,ucbtraining-academicfutures,https://live-ucbprod-academicfutures.pantheonsite.io,https://live-ucbtraining-academicfutures.pantheonsite.io
ucb-afrotc,colorado.edu/afrotc,ucbprod-afrotc,ucbtraining-afrotc,https://live-ucbprod-afrotc.pantheonsite.io,https://live-ucbtraining-afrotc.pantheonsite.io
ucb-alumniboard,colorado.edu/alumniboard,ucbprod-alumniboard,ucbtraining-alumniboard,https://live-ucbprod-alumniboard.pantheonsite.io,https://live-ucbtraining-alumniboard.pantheonsite.io
ucb-aod,colorado.edu/aod,ucbprod-aod,ucbtraining-aod,https://live-ucbprod-aod.pantheonsite.io,https://live-ucbtraining-aod.pantheonsite.io
ucb-aquetza,colorado.edu/aquetza,ucbprod-aquetza,ucbtraining-aquetza,https://live-ucbprod-aquetza.pantheonsite.io,https://live-ucbtraining-aquetza.pantheonsite.io
ucb-archivetransformed,colorado.edu/archivetransformed,ucbprod-archivetransformed,ucbtraining-archivetransformed,https://live-ucbprod-archivetransformed.pantheonsite.io,https://live-ucbtraining-archivetransformed.pantheonsite.io
ucb-arotc,colorado.edu/arotc,ucbprod-arotc,ucbtraining-arotc,https://live-ucbprod-arotc.pantheonsite.io,https://live-ucbtraining-arotc.pantheonsite.io
ucb-artsandsciences,colorado.edu/artsandsciences,ucbprod-artsandsciences,ucbtraining-artsandsciences,https://live-ucbprod-artsandsciences.pantheonsite.io,https://live-ucbtraining-artsandsciences.pantheonsite.io
ucb-asfacultystaff,colorado.edu/asfacultystaff,ucbprod-asfacultystaff,ucbtraining-asfacultystaff,https://live-ucbprod-asfacultystaff.pantheonsite.io,https://live-ucbtraining-asfacultystaff.pantheonsite.io
ucb-bioserve-sandbox,colorado.edu/bioserve-sandbox,ucbprod-bioserve-sandbox,ucbtraining-bioserve-sandbox,https://live-ucbprod-bioserve-sandbox.pantheonsite.io,https://live-ucbtraining-bioserve-sandbox.pantheonsite.io
ucb-blackstudentalliance,colorado.edu/blackstudentalliance,ucbprod-blackstudentalliance,ucbtraining-blackstudentalliance,https://live-ucbprod-blackstudentalliance.pantheonsite.io,https://live-ucbtraining-blackstudentalliance.pantheonsite.io
ucb-bouldersoundshop,colorado.edu/bouldersoundshop,ucbprod-bouldersoundshop,ucbtraining-bouldersoundshop,https://live-ucbprod-bouldersoundshop.pantheonsite.io,https://live-ucbtraining-bouldersoundshop.pantheonsite.io
ucb-bowmanlab,colorado.edu/bowmanlab,ucbprod-bowmanlab,ucbtraining-bowmanlab,https://live-ucbprod-bowmanlab.pantheonsite.io,https://live-ucbtraining-bowmanlab.pantheonsite.io
ucb-brakhagecenter,colorado.edu/brakhagecenter,ucbprod-brakhagecenter,ucbtraining-brakhagecenter,https://live-ucbprod-brakhagecenter.pantheonsite.io,https://live-ucbtraining-brakhagecenter.pantheonsite.io
ucb-campusplanning,colorado.edu/campusplanning,ucbprod-campusplanning,ucbtraining-campusplanning,https://live-ucbprod-campusplanning.pantheonsite.io,https://live-ucbtraining-campusplanning.pantheonsite.io
ucb-ceae,colorado.edu/ceae,ucbprod-ceae,ucbtraining-ceae,https://live-ucbprod-ceae.pantheonsite.io,https://live-ucbtraining-ceae.pantheonsite.io
ucb-ceb,colorado.edu/ceb,ucbprod-ceb,ucbtraining-ceb,https://live-ucbprod-ceb.pantheonsite.io,https://live-ucbtraining-ceb.pantheonsite.io
ucb-center-benson,colorado.edu/center/benson,ucbprod-center-benson,ucbtraining-center-benson,https://live-ucbprod-center-benson.pantheonsite.io,https://live-ucbtraining-center-benson.pantheonsite.io
ucb-center-bueno,colorado.edu/center/bueno,ucbprod-center-bueno,ucbtraining-center-bueno,https://live-ucbprod-center-bueno.pantheonsite.io,https://live-ucbtraining-center-bueno.pantheonsite.io
ucb-center-crmt,colorado.edu/center/crmt,ucbprod-center-crmt,ucbtraining-center-crmt,https://live-ucbprod-center-crmt.pantheonsite.io,https://live-ucbtraining-center-crmt.pantheonsite.io
ucb-center-cuchange,colorado.edu/center/cuchange,ucbprod-center-cuchange,ucbtraining-center-cuchange,https://live-ucbprod-center-cuchange.pantheonsite.io,https://live-ucbtraining-center-cuchange.pantheonsite.io
ucb-center-demtech,colorado.edu/center/demtech,ucbprod-center-demtech,ucbtraining-center-demtech,https://live-ucbprod-center-demtech.pantheonsite.io,https://live-ucbtraining-center-demtech.pantheonsite.io
ucb-center-spacegrant,colorado.edu/center/spacegrant,ucbprod-center-spacegrant,ucbtraining-center-spacegrant,https://live-ucbprod-center-spacegrant.pantheonsite.io,https://live-ucbtraining-center-spacegrant.pantheonsite.io
ucb-chbecapstonedesign,colorado.edu/chbecapstonedesign,ucbprod-chbecapstonedesign,ucbtraining-chbecapstonedesign,https://live-ucbprod-chbecapstonedesign.pantheonsite.io,https://live-ucbtraining-chbecapstonedesign.pantheonsite.io
ucb-childcare,colorado.edu/childcare,ucbprod-childcare,ucbtraining-childcare,https://live-ucbprod-childcare.pantheonsite.io,https://live-ucbtraining-childcare.pantheonsite.io
ucb-cinemastudies,colorado.edu/cinemastudies,ucbprod-cinemastudies,ucbtraining-cinemastudies,https://live-ucbprod-cinemastudies.pantheonsite.io,https://live-ucbtraining-cinemastudies.pantheonsite.io
ucb-cognitivedevelopment,colorado.edu/cognitivedevelopment,ucbprod-cognitivedevelopment,ucbtraining-cognitivedevelopment,https://live-ucbprod-cognitivedevelopment.pantheonsite.io,https://live-ucbtraining-cognitivedevelopment.pantheonsite.io
ucb-commrap,colorado.edu/commrap,ucbprod-commrap,ucbtraining-commrap,https://live-ucbprod-commrap.pantheonsite.io,https://live-ucbtraining-commrap.pantheonsite.io
ucb-communications-data-science,colorado.edu/communications-data-science,ucbprod-communications-data-science,ucbtraining-communications-data-science,https://live-ucbprod-communications-data-science.pantheonsite.io,https://live-ucbtraining-communications-data-science.pantheonsite.io
ucb-controller,colorado.edu/controller,ucbprod-controller,ucbtraining-controller,https://live-ucbprod-controller.pantheonsite.io,https://live-ucbtraining-controller.pantheonsite.io
ucb-cvsp,colorado.edu/cvsp,ucbprod-cvsp,ucbtraining-cvsp,https://live-ucbprod-cvsp.pantheonsite.io,https://live-ucbtraining-cvsp.pantheonsite.io
ucb-emp,colorado.edu/emp,ucbprod-emp,ucbtraining-emp,https://live-ucbprod-emp.pantheonsite.io,https://live-ucbtraining-emp.pantheonsite.io
ucb-english,colorado.edu/english,ucbprod-english,ucbtraining-english,https://live-ucbprod-english.pantheonsite.io,https://live-ucbtraining-english.pantheonsite.io
ucb-english-language-notes,colorado.edu/english-language-notes,ucbprod-english-language-notes,ucbtraining-english-language-notes,https://live-ucbprod-english-language-notes.pantheonsite.io,https://live-ucbtraining-english-language-notes.pantheonsite.io
ucb-event-tedxcu,colorado.edu/event/tedxcu,ucbprod-event-tedxcu,ucbtraining-event-tedxcu,https://live-ucbprod-event-tedxcu.pantheonsite.io,https://live-ucbtraining-event-tedxcu.pantheonsite.io
ucb-faculty-celoza,colorado.edu/faculty/celoza,ucbprod-faculty-celoza,ucbtraining-faculty-celoza,https://live-ucbprod-faculty-celoza.pantheonsite.io,https://live-ucbtraining-faculty-celoza.pantheonsite.io
ucb-faculty-henze,colorado.edu/faculty/henze,ucbprod-faculty-henze,ucbtraining-faculty-henze,https://live-ucbprod-faculty-henze.pantheonsite.io,https://live-ucbtraining-faculty-henze.pantheonsite.io
ucb-faculty-hulden-vilja,colorado.edu/faculty/hulden-vilja,ucbprod-faculty-hulden-vilja,ucbtraining-faculty-hulden-vilja,https://live-ucbprod-faculty-hulden-vilja.pantheonsite.io,https://live-ucbtraining-faculty-hulden-vilja.pantheonsite.io
ucb-faculty-kmaskus,colorado.edu/faculty/kmaskus,ucbprod-faculty-kmaskus,ucbtraining-faculty-kmaskus,https://live-ucbprod-faculty-kmaskus.pantheonsite.io,https://live-ucbtraining-faculty-kmaskus.pantheonsite.io
ucb-faculty-lehmantamara,colorado.edu/faculty/lehmantamara,ucbprod-faculty-lehmantamara,ucbtraining-faculty-lehmantamara,https://live-ucbprod-faculty-lehmantamara.pantheonsite.io,https://live-ucbtraining-faculty-lehmantamara.pantheonsite.io
ucb-faculty-mathys,colorado.edu/faculty/mathys,ucbprod-faculty-mathys,ucbtraining-faculty-mathys,https://live-ucbprod-faculty-mathys.pantheonsite.io,https://live-ucbtraining-faculty-mathys.pantheonsite.io
ucb-faculty-metcalf,colorado.edu/faculty/metcalf,ucbprod-faculty-metcalf,ucbtraining-faculty-metcalf,https://live-ucbprod-faculty-metcalf.pantheonsite.io,https://live-ucbtraining-faculty-metcalf.pantheonsite.io
ucb-faculty-milford-jana,colorado.edu/faculty/milford-jana,ucbprod-faculty-milford-jana,ucbtraining-faculty-milford-jana,https://live-ucbprod-faculty-milford-jana.pantheonsite.io,https://live-ucbtraining-faculty-milford-jana.pantheonsite.io
ucb-faculty-moddel,colorado.edu/faculty/moddel,ucbprod-faculty-moddel,ucbtraining-faculty-moddel,https://live-ucbprod-faculty-moddel.pantheonsite.io,https://live-ucbtraining-faculty-moddel.pantheonsite.io
